,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,Pos_rate,Pop
0,Alabama,US,2020-05-31 02:32:52,32.3182,-86.9023,17359,618,9355.0,7386.0,1,354.03518325333437,212201.0,1826.0,3.5601129097298236,84000001,USA,4327.8195703405045,10.519039115156405,0.08180451553008704,4903184.999999998
1,Alaska,US,2020-05-31 02:32:52,61.3707,-152.4044,433,10,368.0,55.0,2,59.18979693662043,51695.0,,2.3094688221709005,84000002,USA,7066.550929881279,,0.008376051842537964,731544.9999999999
2,American Samoa,US,2020-05-31 02:32:52,-14.271,-170.132,0,0,,0.0,60,0.0,174.0,,,16,ASM,312.7190381193724,,0.0,55641.00000000001
3,Arizona,US,2020-05-31 02:32:52,33.7298,-111.4312,19258,904,4657.0,13697.0,4,264.579595552348,217047.0,2980.0,4.694153079239796,84000004,USA,2981.940361192776,15.474088690414375,0.08872732633945643,7278717.0
4,Arkansas,US,2020-05-31 02:32:52,34.9697,-92.3731,7013,133,5166.0,1714.0,5,232.38752417320674,126497.0,702.0,1.8964779694852416,84000005,USA,4191.690381482694,10.009981462997288,0.05544004996165917,3017804.0000000005
5,California,US,2020-05-31 02:32:52,36.1162,-119.6816,109895,4144,,105751.0,6,278.12912475210516,1888595.0,,3.7708721961872698,84000006,USA,4779.774096739634,,0.058188759368737075,39512223.0
6,Colorado,US,2020-05-31 02:32:52,39.0598,-105.3111,26084,1443,3859.0,20782.0,8,452.94661884135684,175741.0,4307.0,5.532126974390431,84000008,USA,3051.728712689729,16.512038030976846,0.14842296333809413,5758736.0
7,Connecticut,US,2020-05-31 02:32:52,41.5978,-72.7554,42022,3912,7127.0,30983.0,9,1178.6428413757433,246935.0,12538.0,9.309409357003474,84000009,USA,6926.0903820646145,29.836752177430874,0.1701743373762326,3565286.999999999
8,Delaware,US,2020-05-31 02:32:52,39.3185,-75.5071,9422,361,5205.0,3856.0,10,967.5855751496256,59329.0,,3.831458289110592,84000010,USA,6092.749372537905,,0.15880935124475384,973763.9999999999
9,Diamond Princess,US,2020-05-31 02:32:52,,,49,0,,49.0,88888,,,,0.0,84088888,USA,,,,
10,District of Columbia,US,2020-05-31 02:32:52,38.8974,-77.0268,8717,462,1100.0,7155.0,11,1235.1416721809028,45629.0,,5.299988528163358,84000011,USA,6465.32974187707,,0.19104078546538386,705749.0
11,Florida,US,2020-05-31 02:32:52,27.7663,-81.6868,55424,2447,,52977.0,12,258.05325765931485,994968.0,10375.0,4.415054849884528,84000012,USA,4632.555096470359,18.719327367205548,0.05570430405801995,21477737.000000004
